Time [s],crank,cam
0.000000000,1,1
0.000396250,1,0
0.002146000,1,1
0.004980917,0,1
0.005284750,1,1
0.010961000,0,1
0.011265500,1,1
0.020315667,0,1
0.020613583,1,1
0.026229333,0,1
0.026525750,1,1
0.029422667,1,0
0.032781750,1,1
0.035632250,0,1
0.035937417,1,1
0.041705917,0,1
0.042017583,1,1
0.051186167,0,1
0.051490167,1,1
0.056667667,1,0
0.057164833,0,0
0.057463667,1,0
0.059888750,1,1
0.061915583,1,0
0.063665250,1,1
0.066500333,0,1
0.066806500,1,1
0.072429167,0,1
0.072728667,1,1
0.081699333,0,1
0.081998750,1,1
0.087573583,0,1
0.087865417,1,1
0.090779333,1,0
0.094014167,1,1
0.096895833,0,1
0.097202583,1,1
0.102923167,0,1
0.103227583,1,1
0.112330333,0,1
0.112631583,1,1
0.117689250,1,0
0.118260417,0,0
0.118561750,1,0
0.120943333,1,1
0.122932667,1,0
0.124652750,1,1
0.127547917,0,1
0.127842000,1,1
0.133429250,0,1
0.133723000,1,1
0.142622333,0,1
0.142917833,1,1
0.148450917,0,1
0.148744333,1,1
0.151518833,1,0
0.154833000,1,1
0.157714000,0,1
0.158016667,1,1
0.163696333,0,1
0.163996750,1,1
0.173027250,0,1
0.173329917,1,1
0.178344583,1,0
0.178923083,0,0
0.179220917,1,0
0.181575833,1,1
0.183542083,1,0
0.185262917,1,1
0.188170250,0,1
0.188471833,1,1
0.194035667,0,1
0.194331083,1,1
0.203203833,0,1
0.203502583,1,1
0.209016917,0,1
0.209312917,1,1
0.212082000,1,0
0.215348083,1,1
0.218247667,0,1
0.218557250,1,1
0.224210417,0,1
0.224512667,1,1
0.233523333,0,1
0.233818167,1,1
0.238788500,1,0
0.239397083,0,0
0.239693833,1,0
0.242007833,1,1
0.243965417,1,0
0.245683667,1,1
0.248594833,0,1
0.248891583,1,1
0.254426167,0,1
0.254717667,1,1
0.263552833,0,1
0.263845167,1,1
0.269339167,0,1
0.269632833,1,1
0.272349500,1,0
0.275629583,1,1
0.278536917,0,1
0.278837250,1,1
0.284467667,0,1
0.284767000,1,1
0.293745583,0,1
0.294039250,1,1
0.298918917,1,0
0.299597667,0,0
0.299893667,1,0
0.302165667,1,1
0.304135417,1,0
0.305841250,1,1
0.308761583,0,1
0.309057417,1,1
0.314568417,0,1
0.314860250,1,1
0.323662083,0,1
0.323958000,1,1
0.329434917,0,1
0.329727917,1,1
0.332422917,1,0
0.335694750,1,1
0.338598167,0,1
0.338898333,1,1
0.344504500,0,1
0.344806750,1,1
0.353743250,0,1
0.354038500,1,1
0.358965167,1,0
0.359577750,0,0
0.359872583,1,0
0.362135500,1,1
0.364106750,1,0
0.365815250,1,1
0.368706917,0,1
0.368999750,1,1
0.374490667,0,1
0.374781167,1,1
0.383546167,0,1
0.383839500,1,1
0.389295667,0,1
0.389584000,1,1
0.392285750,1,0
0.395543417,1,1
0.398412250,0,1
0.398711083,1,1
0.404292667,0,1
0.404593833,1,1
0.413497750,0,1
0.413790500,1,1
0.418651833,1,0
0.419308083,0,0
0.419601667,1,0
0.421858083,1,1
0.423829750,1,0
0.425518917,1,1
0.428399917,0,1
0.428690000,1,1
0.434160583,0,1
0.434447417,1,1
0.443186167,0,1
0.443477083,1,1
0.448913667,0,1
0.449201667,1,1
0.451868917,1,0
0.455138917,1,1
0.457997000,0,1
0.458294833,1,1
0.463859500,0,1
0.464156250,1,1
0.473027250,0,1
0.473323167,1,1
0.478142250,1,0
0.478822167,0,0
0.479113500,1,0
0.481360750,1,1
0.483301583,1,0
0.484987417,1,1
0.487883250,0,1
0.488177000,1,1
0.493632583,0,1
0.493920750,1,1
0.502652667,0,1
0.502941167,1,1
0.508372500,0,1
0.508658333,1,1
0.511352083,1,0
0.514571083,1,1
0.517448000,0,1
0.517742000,1,1
0.523301583,0,1
0.523596250,1,1
0.532453333,0,1
0.532744250,1,1
0.537599333,1,0
0.538225083,0,0
0.538522750,1,0
0.540766250,1,1
0.542682500,1,0
0.544370583,1,1
0.547288250,0,1
0.547579167,1,1
0.553030000,0,1
0.553320250,1,1
0.562028583,0,1
0.562318333,1,1
0.567736667,0,1
0.568022583,1,1
0.570706083,1,0
0.573928833,1,1
0.576791000,0,1
0.577085583,1,1
0.582628083,0,1
0.582926833,1,1
0.591769833,0,1
0.592060333,1,1
0.596975250,1,0
0.597538667,0,0
0.597828000,1,0
0.600075917,1,1
0.601998000,1,0
0.603678000,1,1
0.606557500,0,1
0.606846583,1,1
0.612277583,0,1
0.612564750,1,1
0.621245167,0,1
0.621537833,1,1
0.626941500,0,1
0.627225750,1,1
0.629788583,1,0
0.633107250,1,1
0.635963167,0,1
0.636264333,1,1
0.641790500,0,1
0.642086917,1,1
0.650906917,0,1
0.651194250,1,1
0.656038750,1,0
0.656656333,0,0
0.656946833,1,0
0.659184417,1,1
0.661099333,1,0
0.662765917,1,1
0.665647083,0,1
0.665939500,1,1
0.671351917,0,1
0.671640083,1,1
0.680299000,0,1
0.680587167,1,1
0.685975583,0,1
0.686258583,1,1
0.688819083,1,0
0.692107583,1,1
0.694980000,0,1
0.695271750,1,1
0.700785333,0,1
0.701075250,1,1
0.709858500,0,1
0.710152583,1,1
0.715027333,1,0
0.715593417,0,0
0.715887167,1,0
0.718135000,1,1
0.720044917,1,0
0.721701667,1,1
0.724572833,0,1
0.724862583,1,1
0.730268000,0,1
0.730553750,1,1
0.739196667,0,1
0.739481250,1,1
0.744854000,0,1
0.745139833,1,1
0.747832917,1,0
0.751013417,1,1
0.753837667,0,1
0.754128833,1,1
0.759623917,0,1
0.759918583,1,1
0.768687250,0,1
0.768975833,1,1
0.773906167,1,0
0.774407000,0,0
0.774695000,1,0
0.776981917,1,1
0.778864333,1,0
0.780509250,1,1
0.783349750,0,1
0.783636750,1,1
0.789023583,0,1
0.789306667,1,1
0.797911250,0,1
0.798197083,1,1
0.803542833,0,1
0.803833167,1,1
0.806518833,1,0
0.809675250,1,1
0.812496250,0,1
0.812786583,1,1
0.818264583,0,1
0.818554917,1,1
0.827283000,0,1
0.827574500,1,1
0.832469583,1,0
0.832981250,0,0
0.833270917,1,0
0.835551000,1,1
0.837421750,1,0
0.839062583,1,1
0.841896833,0,1
0.842185417,1,1
0.847556083,0,1
0.847838750,1,1
0.856411500,0,1
0.856700250,1,1
0.862035083,0,1
0.862317250,1,1
0.865005167,1,0
0.868135667,1,1
0.870957083,0,1
0.871243667,1,1
0.876702000,0,1
0.876995583,1,1
0.885690417,0,1
0.885986083,1,1
0.890915417,1,0
0.891377083,0,0
0.891663167,1,0
0.893944417,1,1
0.895805000,1,0
0.897438000,1,1
0.900256417,0,1
0.900544000,1,1
0.905893500,0,1
0.906178333,1,1
0.914715167,0,1
0.914999667,1,1
0.920316417,0,1
0.920593833,1,1
0.923297750,1,0
0.926428167,1,1
0.929192500,0,1
0.929486833,1,1
0.934922583,0,1
0.935215750,1,1
0.943876583,0,1
0.944171333,1,1
0.949140083,1,0
0.949540833,0,0
0.949826667,1,0
0.952131583,1,1
0.954001500,1,0
0.955620917,1,1
0.958409917,0,1
0.958698833,1,1
0.964039250,0,1
0.964323333,1,1
0.972846667,0,1
0.973135917,1,1
0.978440500,0,1
0.978720583,1,1
0.981447583,1,0
0.984538667,1,1
0.987312250,0,1
0.987602000,1,1
0.993035333,0,1
0.993321417,1,1
1.001973750,0,1
1.002258417,1,1
1.007168667,1,0
1.007623750,0,0
1.007906000,1,0
1.010223417,1,1
1.012063917,1,0
1.013682417,1,1
1.016471750,0,1
1.016754667,1,1
1.022084083,0,1
1.022362750,1,1
1.030867417,0,1
1.031152083,1,1
1.036446083,0,1
1.036726333,1,1
1.039432000,1,0
1.042533417,1,1
1.045306667,0,1
1.045590750,1,1
1.051007583,0,1
1.051297167,1,1
1.059926917,0,1
1.060212750,1,1
1.065153667,1,0
1.065563083,0,0
1.065849917,1,0
